Jahr,Baumart,Waldeigentum,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,Einschlagsursache,,,,,,,,
,,,Wind/Sturm,Schnee/Duft,Insekten,Trockenheit,Sonstiges,Insgesamt,,,,,,,,
2006,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),7,4,0,2,7,6,-,53,0,68,2,,,
2006,Eiche und Roteiche,K�rperschaftswald,5,5,0,7,5,8,-,39,9,51,9,,,
2006,Eiche und Roteiche,Privatwald,2,8,5,0,3,3,-,18,0,29,0,,,
2006,Eiche und Roteiche,Insgesamt,15,6,6,0,16,7,-,110,8,149,1,,,
2006,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),64,7,5,6,13,8,-,114,8,198,9,,,
2006,Buche und sonstiges Laubholz,K�rperschaftswald,31,8,4,7,21,3,-,97,6,155,3,,,
2006,Buche und sonstiges Laubholz,Privatwald,20,5,7,6,9,0,-,78,2,115,2,,,
2006,Buche und sonstiges Laubholz,Insgesamt,116,9,17,8,44,1,-,290,6,469,4,,,
2006,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),50,1,22,3,38,0,-,53,0,163,5,,,
2006,Kiefer und L�rche,K�rperschaftswald,9,6,12,6,27,4,-,37,9,87,6,,,
2006,Kiefer und L�rche,Privatwald,40,8,120,3,23,5,-,26,5,211,2,,,
2006,Kiefer und L�rche,Insgesamt,100,6,155,2,88,9,-,117,5,462,3,,,
2006,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),838,3,356,0,2638,3,-,240,3,4073,0,
2006,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,224,6,72,9,1178,6,-,93,3,1569,5,
2006,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,233,4,162,4,1055,4,-,149,9,1601,1,
2006,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,1296,3,591,3,4872,3,-,483,7,7243,6,
2006,Insgesamt,Staatswald (Bundes- und Landeswald),960,6,384,1,2697,7,-,461,3,4503,6,,,
2006,Insgesamt,K�rperschaftswald,271,5,90,9,1233,1,-,268,7,1864,3,,,
2006,Insgesamt,Privatwald,297,4,295,3,1091,2,-,272,6,1956,5,,,
2006,Insgesamt,Insgesamt,1529,5,770,3,5022,0,-,1002,6,8324,4,,,
2007,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),79,8,0,3,10,6,-,39,9,130,5,,,
2007,Eiche und Roteiche,K�rperschaftswald,44,4,0,2,7,0,-,34,4,86,1,,,
2007,Eiche und Roteiche,Privatwald,63,5,0,5,2,7,-,15,3,82,1,,,
2007,Eiche und Roteiche,Insgesamt,187,8,1,0,20,3,-,89,6,298,7,,,
2007,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),746,6,2,6,10,6,-,100,4,860,2,,,
2007,Buche und sonstiges Laubholz,K�rperschaftswald,355,2,2,3,9,3,-,90,3,457,0,,,
2007,Buche und sonstiges Laubholz,Privatwald,364,4,3,5,3,4,-,63,7,435,0,,,
2007,Buche und sonstiges Laubholz,Insgesamt,1466,1,8,4,23,3,-,254,4,1752,3,,,
2007,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),1662,7,14,4,35,1,-,59,4,1771,6,,,
2007,Kiefer und L�rche,K�rperschaftswald,289,2,12,9,19,6,-,31,6,353,3,,,
2007,Kiefer und L�rche,Privatwald,1291,1,48,5,16,2,-,27,2,1383,0,,,
2007,Kiefer und L�rche,Insgesamt,3243,0,75,8,70,8,-,118,2,3507,9,,,
2007,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),12075,7,44,6,1404,8,-,169,6,13694,7,
2007,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,5843,8,28,8,475,4,-,82,2,6430,2,
2007,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,8515,3,37,8,502,5,-,150,7,9206,3,
2007,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,26434,8,111,2,2382,7,-,402,6,29331,2,
2007,Insgesamt,Staatswald (Bundes- und Landeswald),14564,7,61,9,1461,1,-,369,3,16457,1,,,
2007,Insgesamt,K�rperschaftswald,6532,5,44,2,511,2,-,238,7,7326,6,,,
2007,Insgesamt,Privatwald,10234,4,90,3,524,8,-,256,8,11106,4,,,
2007,Insgesamt,Insgesamt,31331,7,196,4,2497,1,-,864,8,34890,1,,,
2008,Eiche und Roteiche,Staatswald (Bundes- und Landeswald),38,6,0,1,10,6,-,33,3,82,6,,,
2008,Eiche und Roteiche,K�rperschaftswald,31,0,0,1,5,3,-,30,5,66,9,,,
2008,Eiche und Roteiche,Privatwald,43,4,0,1,22,6,-,17,1,83,3,,,
2008,Eiche und Roteiche,Insgesamt,113,0,0,4,38,6,-,80,8,232,7,,,
2008,Buche und sonstiges Laubholz,Staatswald (Bundes- und Landeswald),258,6,2,0,10,1,-,57,3,328,1,,,
2008,Buche und sonstiges Laubholz,K�rperschaftswald,161,7,2,5,9,4,-,85,5,258,9,,,
2008,Buche und sonstiges Laubholz,Privatwald,230,0,0,5,18,8,-,35,8,285,1,,,
2008,Buche und sonstiges Laubholz,Insgesamt,650,2,5,0,38,3,-,178,6,872,1,,,
2008,Kiefer und L�rche,Staatswald (Bundes- und Landeswald),464,8,3,9,25,2,-,44,8,538,7,,,
2008,Kiefer und L�rche,K�rperschaftswald,180,9,1,0,12,2,-,32,4,226,5,,,
2008,Kiefer und L�rche,Privatwald,520,9,8,3,71,4,-,12,6,613,1,,,
2008,Kiefer und L�rche,Insgesamt,1166,6,13,2,108,8,-,89,8,1378,4,,,
2008,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Staatswald (Bundes- und Landeswald),3442,5,10,8,1726,4,-,64,0,5243,8,
2008,Fichte und Tanne und Douglasie und sonstiges Nadelholz,K�rperschaftswald,2286,0,13,2,733,6,-,43,9,3076,7,
2008,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Privatwald,4808,3,12,3,1913,4,-,59,7,6793,7,
2008,Fichte und Tanne und Douglasie und sonstiges Nadelholz,Insgesamt,10536,7,36,4,4373,4,-,167,7,15114,2,
